id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,poster_url,backdrop_url,release_year,release_month,popularity_level,rating_level,genres,genres_str
10161,en,My Left Foot: The Story of Christy Brown,"No one expects much from Christy Brown, a boy with cerebral palsy born into a working-class Irish family. Though Christy is a spastic quadriplegic and essentially paralyzed, a miraculous event occurs when, at the age of 5, he demonstrates control of his left foot by using chalk to scrawl a word on the floor. With the help of his steely mother — and no shortage of grit and determination — Christy overcomes his infirmity to become a painter, poet and author.",9.940999984741211,1989-04-07,My Left Foot: The Story of Christy Brown,7.5,978,https://image.tmdb.org/t/p/w342/GRAAl0bMQFoFIjV3aunc5jsM5u.jpg,https://image.tmdb.org/t/p/w780/zjKg04EquTcnVZUfjHboXnXzjcF.jpg,1989,4,very high,good,['Drama'],Drama
552095,en,PAW Patrol: Mighty Pups,"When their latest scheme goes awry, Mayor Humdinger and his nephew Harold accidentally divert a meteor towards Adventure Bay. The meteor's golden energy grants the PAW Patrol superpowers. The heroic Mighty Pups are on a roll to super-save the day.",2.646899938583374,2018-10-04,PAW Patrol: Mighty Pups,7.5,583,https://image.tmdb.org/t/p/w342/6qIEgqQWao5VcBE3jsXWOSTYZw.jpg,https://image.tmdb.org/t/p/w780/AseABzwquvPFMpVQUDeDifYjLkF.jpg,2018,10,medium,good,"['Adventure', 'Animation', 'Family', 'Action']","Adventure, Animation, Family, Action"
71883,ja,レッドライン,"A daredevil driver is determined to compete in Redline, the most popular race in the galaxy. The race only occurs every five years, but in order to participate he must overcome the mafia, the government and even love.",3.9321999549865723,2009-08-14,Redline,7.520999908447266,521,https://image.tmdb.org/t/p/w342/yUkH0y9OsY7J08Dvfzi1P0di559.jpg,https://image.tmdb.org/t/p/w780/cftD8o34P6N8zTwySfaaMnaNkTT.jpg,2009,8,high,good,"['Animation', 'Action', 'Science Fiction']","Animation, Action, Science Fiction"
59436,en,Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",5.161799907684326,2011-05-11,Midnight in Paris,7.520999908447266,7534,https://image.tmdb.org/t/p/w342/4wBG5kbfagTQclETblPRRGihk0I.jpg,https://image.tmdb.org/t/p/w780/sIJTdyF6JFbIz5mENPpeSlCKYyB.jpg,2011,5,high,good,"['Fantasy', 'Comedy', 'Romance']","Fantasy, Comedy, Romance"
15014,it,Bianca,"Eccentric and full of manias, Michele is a young high school professor who defines himself as “not used to happiness”. He realizes his life is meaningless if he doesn’t have a woman by his side but, after a series of rather disastrous experiences, he feels more alone than ever. Then, out of the blue, a new French teacher called Bianca arrives at school. Amongst uncertainties and contradictions, the two start dating. In the meantime, a series of homicides take place and a police officer begins to suspect that Michele is involved. Bianca will save him providing an alibi at the right moment, but then, everything goes wrong again.",1.5836000442504883,1984-02-23,Bianca,7.520999908447266,398,https://image.tmdb.org/t/p/w342/ufRG8d4fNbeueW3UFcWfe4ekhJj.jpg,https://image.tmdb.org/t/p/w780/rQY1Rkjxa7EJXYrv2jbUjLcCC4l.jpg,1984,2,low,good,"['Drama', 'Comedy', 'Mystery']","Drama, Comedy, Mystery"
19413,it,"Brutti, sporchi e cattivi","Giacinto lives with his wife, their ten children and various other family members in a shack on the hills of Rome. Some time ago he has lost his left eye while at work, and got a consistent sum of money from the insurance company, which he keeps hidden from the rest of the family. His whole life is now based on defending the money he sees as his own, while the rest of the family tries to kill him.",1.5749000310897827,1976-09-23,"Ugly, Dirty and Bad",7.519999980926514,328,https://image.tmdb.org/t/p/w342/cn2OXjLPL6m5aj2W26hkkc1GyXm.jpg,https://image.tmdb.org/t/p/w780/lZzW1Y6sDGhbnOh8NuMwUlOVVVe.jpg,1976,9,low,good,"['Comedy', 'Drama']","Comedy, Drama"
575264,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",13.672900199890137,2023-07-08,Mission: Impossible - Dead Reckoning Part One,7.519000053405762,4707,https://image.tmdb.org/t/p/w342/NNxYkU70HPurnNCSiCjYAmacwm.jpg,https://image.tmdb.org/t/p/w780/x1ZKRyvB7QAXfYVgf5mUJzjPqfH.jpg,2023,7,very high,good,"['Action', 'Adventure', 'Thriller']","Action, Adventure, Thriller"
176241,en,Prison Break: The Final Break,"Prison Break: The Movie. Michael and Sara wed, but the happiness is short-lived when the Feds apprehend her for the murder of Michael's mother, Christina. Once a hit is ordered on Sara, the team reunite to break out the increasingly vulnerable target.",3.8124001026153564,2009-09-10,Prison Break: The Final Break,7.519000053405762,697,https://image.tmdb.org/t/p/w342/ofaeNnd8FJc0NiJ7cDbH2lFHLQI.jpg,https://image.tmdb.org/t/p/w780/qN2q7yyCsSLVt8tVVW3d4VXvbPb.jpg,2009,9,high,good,"['Action', 'Drama', 'Thriller']","Action, Drama, Thriller"
43904,fr,L'Atalante,Newly married couple Juliette and ship captain Jean struggle through marriage as they travel on the L'Atalante along with the captain's first mate and a cabin boy.,1.8657000064849854,1934-04-24,L'Atalante,7.519000053405762,445,https://image.tmdb.org/t/p/w342/qg3PQG6QeFpcg45XhYQpsYcabna.jpg,https://image.tmdb.org/t/p/w780/eooCQusEINqdpTMBkECHluyurW9.jpg,1934,4,low,good,"['Comedy', 'Drama', 'Romance']","Comedy, Drama, Romance"
615,en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,5.879499912261963,2004-02-25,The Passion of the Christ,7.519000053405762,4951,https://image.tmdb.org/t/p/w342/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg,https://image.tmdb.org/t/p/w780/pulJ1iY7GVeppMRipiR7ZGDW7EW.jpg,2004,2,very high,good,['Drama'],Drama
